# Logfile created on 2026-03-10 01:22:38 +0100 by logger.rb/v1.5.3
2026-03-10 01:22:38 +0100: Memory Usage (435800K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Layout2026/Clock_Extractor_2026.gds
2026-03-10 01:22:38 +0100: Memory Usage (435800K) : Ruby Version for klayout: 3.2.3
2026-03-10 01:22:38 +0100: Memory Usage (437080K) : Loading database to memory is complete.
2026-03-10 01:22:38 +0100: Memory Usage (437080K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/drc_run_2stage_ota/Clock_Extractor_2026_2stage_ota_main.lyrdb
2026-03-10 01:22:38 +0100: Memory Usage (437080K) : Evaluate switches.
2026-03-10 01:22:38 +0100: Memory Usage (437080K) : tables selected: main
2026-03-10 01:22:38 +0100: Memory Usage (437080K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-10 01:22:38 +0100: Memory Usage (437080K) : deep mode is enabled.
2026-03-10 01:22:38 +0100: Memory Usage (437080K) : FEOL enabled: true
2026-03-10 01:22:38 +0100: Memory Usage (437208K) : BEOL enabled: true
2026-03-10 01:22:38 +0100: Memory Usage (437208K) : OFFGRID enabled: true
2026-03-10 01:22:38 +0100: Memory Usage (437208K) : PIN enabled: true
2026-03-10 01:22:38 +0100: Memory Usage (437208K) : FORBIDDEN enabled: true
2026-03-10 01:22:38 +0100: Memory Usage (437208K) : RECOMMENDED enabled: true
2026-03-10 01:22:38 +0100: Memory Usage (437208K) : PreCheck DRC enabled: false
2026-03-10 01:22:38 +0100: Memory Usage (437208K) : CONNECTIVITY_RULES enabled: true.
2026-03-10 01:22:38 +0100: Memory Usage (437208K) : Read in polygons from layers.
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : activ_drw has 31 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : activ_pin has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : activ_mask has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : activ_filler has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : activ_nofill has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : activ_opc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : activ_iopc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : activ_noqrc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : biwind_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : biwind_opc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : pemwind_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : gatpoly_drw has 24 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : gatpoly_pin has 2 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : gatpoly_filler has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : gatpoly_nofill has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : gatpoly_opc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : gatpoly_iopc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438488K) : gatpoly_noqrc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438616K) : cont_drw has 273 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438616K) : cont_opc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438616K) : nsd_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438616K) : nsd_block has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438616K) : metal1_drw has 60 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438616K) : metal1_pin has 4 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438872K) : metal1_mask has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438872K) : metal1_filler has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438872K) : metal1_nofill has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (438872K) : metal1_slit has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439128K) : metal1_text has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439128K) : metal1_opc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439128K) : metal1_noqrc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439128K) : metal1_res has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439256K) : metal1_iprobe has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439256K) : metal1_diffprb has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439384K) : passiv_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439384K) : passiv_pin has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439512K) : passiv_sbump has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439512K) : passiv_pillar has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439512K) : passiv_pdl has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439640K) : metal2_drw has 11 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439640K) : metal2_pin has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439768K) : metal2_mask has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439768K) : metal2_filler has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439896K) : metal2_nofill has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439896K) : metal2_slit has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (439896K) : metal2_text has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440024K) : metal2_opc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440024K) : metal2_noqrc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440152K) : metal2_res has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440280K) : metal2_iprobe has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440280K) : metal2_diffprb has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440280K) : baspoly_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440408K) : baspoly_pin has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440408K) : psd_drw has 8 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440536K) : nldb_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440536K) : digibnd_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440664K) : via1_drw has 6 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440664K) : backmetal1_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440792K) : backmetal1_pin has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440792K) : backmetal1_mask has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440792K) : backmetal1_filler has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440920K) : backmetal1_nofill has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (440920K) : backmetal1_slit has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441048K) : backmetal1_text has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441048K) : backmetal1_opc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441048K) : backmetal1_noqrc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441176K) : backmetal1_res has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441176K) : backmetal1_iprobe has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441304K) : backmetal1_diffprb has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441304K) : backpassiv_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441432K) : res_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441432K) : sram_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441560K) : trans_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441560K) : ind_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441688K) : ind_pin has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441688K) : ind_text has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441816K) : salblock_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441816K) : via2_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441944K) : metal3_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (441944K) : metal3_pin has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (442072K) : metal3_mask has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (442072K) : metal3_filler has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (442200K) : metal3_nofill has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (442200K) : metal3_slit has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (442328K) : metal3_text has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (442328K) : metal3_opc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (442328K) : metal3_noqrc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (442456K) : metal3_res has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (442456K) : metal3_iprobe has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (442584K) : metal3_diffprb has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (442584K) : nwell_drw has 2 polygons
2026-03-10 01:22:38 +0100: Memory Usage (442712K) : nwell_pin has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (442840K) : nbulay_drw has 4 polygons
2026-03-10 01:22:38 +0100: Memory Usage (442840K) : nbulay_pin has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (442840K) : nbulay_block has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (442968K) : emwind_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (443096K) : emwind_opc has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (443096K) : deepco_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (443224K) : deepco_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (443224K) : mim_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (443352K) : edgeseal_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (443352K) : edgeseal_bound has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (443480K) : substrate_drw has 8 polygons
2026-03-10 01:22:38 +0100: Memory Usage (443480K) : substrate_text has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (443608K) : dfpad_drw has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (443608K) : dfpad_pillar has 0 polygons
2026-03-10 01:22:38 +0100: Memory Usage (443736K) : dfpad_sbump has 0 polygons
