# Logfile created on 2026-03-10 01:27:10 +0100 by logger.rb/v1.5.3
2026-03-10 01:27:10 +0100: Memory Usage (436912K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Layout2026/Clock_Extractor_2026.gds
2026-03-10 01:27:10 +0100: Memory Usage (436912K) : Ruby Version for klayout: 3.2.3
2026-03-10 01:27:10 +0100: Memory Usage (437936K) : Loading database to memory is complete.
2026-03-10 01:27:10 +0100: Memory Usage (437936K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/drc_run_Clock_Extractor_2026/Clock_Extractor_2026_Clock_Extractor_2026_main.lyrdb
2026-03-10 01:27:10 +0100: Memory Usage (437936K) : Evaluate switches.
2026-03-10 01:27:10 +0100: Memory Usage (437936K) : tables selected: main
2026-03-10 01:27:10 +0100: Memory Usage (437936K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-10 01:27:10 +0100: Memory Usage (437936K) : deep mode is enabled.
2026-03-10 01:27:10 +0100: Memory Usage (437936K) : FEOL enabled: true
2026-03-10 01:27:10 +0100: Memory Usage (437936K) : BEOL enabled: true
2026-03-10 01:27:10 +0100: Memory Usage (437936K) : OFFGRID enabled: true
2026-03-10 01:27:10 +0100: Memory Usage (437936K) : PIN enabled: true
2026-03-10 01:27:10 +0100: Memory Usage (437936K) : FORBIDDEN enabled: true
2026-03-10 01:27:10 +0100: Memory Usage (437936K) : RECOMMENDED enabled: true
2026-03-10 01:27:10 +0100: Memory Usage (437936K) : PreCheck DRC enabled: false
2026-03-10 01:27:10 +0100: Memory Usage (437936K) : CONNECTIVITY_RULES enabled: true.
2026-03-10 01:27:10 +0100: Memory Usage (437936K) : Read in polygons from layers.
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : activ_drw has 164 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : activ_pin has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : activ_mask has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : activ_filler has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : activ_nofill has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : activ_opc has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : activ_iopc has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : activ_noqrc has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : biwind_drw has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : biwind_opc has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : pemwind_drw has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : gatpoly_drw has 115 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : gatpoly_pin has 23 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : gatpoly_filler has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : gatpoly_nofill has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : gatpoly_opc has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : gatpoly_iopc has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439472K) : gatpoly_noqrc has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439728K) : cont_drw has 1603 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439728K) : cont_opc has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439728K) : nsd_drw has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439728K) : nsd_block has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439728K) : metal1_drw has 294 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439984K) : metal1_pin has 49 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439984K) : metal1_mask has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439984K) : metal1_filler has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439984K) : metal1_nofill has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (439984K) : metal1_slit has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (440112K) : metal1_text has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (440112K) : metal1_opc has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (440112K) : metal1_noqrc has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (440240K) : metal1_res has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (440240K) : metal1_iprobe has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (440368K) : metal1_diffprb has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (440368K) : passiv_drw has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (440496K) : passiv_pin has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (440496K) : passiv_sbump has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (440496K) : passiv_pillar has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (440624K) : passiv_pdl has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (440624K) : metal2_drw has 64 polygons
2026-03-10 01:27:10 +0100: Memory Usage (440752K) : metal2_pin has 4 polygons
2026-03-10 01:27:10 +0100: Memory Usage (440752K) : metal2_mask has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (440880K) : metal2_filler has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (440880K) : metal2_nofill has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441008K) : metal2_slit has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441136K) : metal2_text has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441136K) : metal2_opc has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441136K) : metal2_noqrc has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441264K) : metal2_res has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441264K) : metal2_iprobe has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441392K) : metal2_diffprb has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441392K) : baspoly_drw has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441392K) : baspoly_pin has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441520K) : psd_drw has 45 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441520K) : nldb_drw has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441648K) : digibnd_drw has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441648K) : via1_drw has 36 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441776K) : backmetal1_drw has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441776K) : backmetal1_pin has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441776K) : backmetal1_mask has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441904K) : backmetal1_filler has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (441904K) : backmetal1_nofill has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (442032K) : backmetal1_slit has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (442032K) : backmetal1_text has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (442160K) : backmetal1_opc has 0 polygons
2026-03-10 01:27:10 +0100: Memory Usage (442160K) : backmetal1_noqrc has 0 polygons
