# Logfile created on 2026-03-09 17:31:09 +0100 by logger.rb/v1.5.3
2026-03-09 17:31:09 +0100: Memory Usage (437432K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Layout2026/Clock_Extractor_2026.gds
2026-03-09 17:31:09 +0100: Memory Usage (437432K) : Ruby Version for klayout: 3.2.3
2026-03-09 17:31:09 +0100: Memory Usage (438584K) : Loading database to memory is complete.
2026-03-09 17:31:09 +0100: Memory Usage (438584K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/drc_run_current_mirror2/Clock_Extractor_2026_current_mirror2_main.lyrdb
2026-03-09 17:31:09 +0100: Memory Usage (438712K) : Evaluate switches.
2026-03-09 17:31:09 +0100: Memory Usage (438712K) : tables selected: main
2026-03-09 17:31:09 +0100: Memory Usage (438712K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-09 17:31:09 +0100: Memory Usage (438712K) : deep mode is enabled.
2026-03-09 17:31:09 +0100: Memory Usage (438840K) : FEOL enabled: true
2026-03-09 17:31:09 +0100: Memory Usage (438840K) : BEOL enabled: true
2026-03-09 17:31:09 +0100: Memory Usage (438840K) : OFFGRID enabled: true
2026-03-09 17:31:09 +0100: Memory Usage (438840K) : PIN enabled: true
2026-03-09 17:31:09 +0100: Memory Usage (438840K) : FORBIDDEN enabled: true
2026-03-09 17:31:09 +0100: Memory Usage (438840K) : RECOMMENDED enabled: true
2026-03-09 17:31:09 +0100: Memory Usage (438840K) : PreCheck DRC enabled: false
2026-03-09 17:31:09 +0100: Memory Usage (438840K) : CONNECTIVITY_RULES enabled: true.
2026-03-09 17:31:09 +0100: Memory Usage (438840K) : Read in polygons from layers.
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : activ_drw has 15 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : activ_pin has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : activ_mask has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : activ_filler has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : activ_nofill has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : activ_opc has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : activ_iopc has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : activ_noqrc has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : biwind_drw has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : biwind_opc has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : pemwind_drw has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : gatpoly_drw has 12 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : gatpoly_pin has 1 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : gatpoly_filler has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : gatpoly_nofill has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : gatpoly_opc has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : gatpoly_iopc has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (439992K) : gatpoly_noqrc has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (440120K) : cont_drw has 403 polygons
2026-03-09 17:31:09 +0100: Memory Usage (440120K) : cont_opc has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (440120K) : nsd_drw has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (440120K) : nsd_block has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (440248K) : metal1_drw has 30 polygons
2026-03-09 17:31:09 +0100: Memory Usage (440248K) : metal1_pin has 2 polygons
2026-03-09 17:31:09 +0100: Memory Usage (440248K) : metal1_mask has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (440504K) : metal1_filler has 0 polygons
2026-03-09 17:31:09 +0100: Memory Usage (440504K) : metal1_nofill has 0 polygons
