# Logfile created on 2026-03-09 17:32:03 +0100 by logger.rb/v1.5.3
2026-03-09 17:32:03 +0100: Memory Usage (438052K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Layout2026/Clock_Extractor_2026.gds
2026-03-09 17:32:03 +0100: Memory Usage (438052K) : Ruby Version for klayout: 3.2.3
2026-03-09 17:32:03 +0100: Memory Usage (439332K) : Loading database to memory is complete.
2026-03-09 17:32:03 +0100: Memory Usage (439332K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/drc_run_current_mirror_loadN/Clock_Extractor_2026_current_mirror_loadN_main.lyrdb
2026-03-09 17:32:03 +0100: Memory Usage (439460K) : Evaluate switches.
2026-03-09 17:32:03 +0100: Memory Usage (439460K) : tables selected: main
2026-03-09 17:32:03 +0100: Memory Usage (439460K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-09 17:32:03 +0100: Memory Usage (439460K) : deep mode is enabled.
2026-03-09 17:32:03 +0100: Memory Usage (439460K) : FEOL enabled: true
2026-03-09 17:32:03 +0100: Memory Usage (439460K) : BEOL enabled: true
2026-03-09 17:32:03 +0100: Memory Usage (439460K) : OFFGRID enabled: true
2026-03-09 17:32:03 +0100: Memory Usage (439460K) : PIN enabled: true
2026-03-09 17:32:03 +0100: Memory Usage (439460K) : FORBIDDEN enabled: true
2026-03-09 17:32:03 +0100: Memory Usage (439460K) : RECOMMENDED enabled: true
2026-03-09 17:32:03 +0100: Memory Usage (439460K) : PreCheck DRC enabled: false
2026-03-09 17:32:03 +0100: Memory Usage (439460K) : CONNECTIVITY_RULES enabled: true.
2026-03-09 17:32:03 +0100: Memory Usage (439460K) : Read in polygons from layers.
2026-03-09 17:32:03 +0100: Memory Usage (440612K) : activ_drw has 31 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440612K) : activ_pin has 0 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440612K) : activ_mask has 0 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440612K) : activ_filler has 0 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440612K) : activ_nofill has 0 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440612K) : activ_opc has 0 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440612K) : activ_iopc has 0 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440612K) : activ_noqrc has 0 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440612K) : biwind_drw has 0 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440612K) : biwind_opc has 0 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440612K) : pemwind_drw has 0 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440740K) : gatpoly_drw has 21 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440740K) : gatpoly_pin has 8 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440740K) : gatpoly_filler has 0 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440740K) : gatpoly_nofill has 0 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440740K) : gatpoly_opc has 0 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440740K) : gatpoly_iopc has 0 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440740K) : gatpoly_noqrc has 0 polygons
2026-03-09 17:32:03 +0100: Memory Usage (440868K) : cont_drw has 135 polygons
