# Logfile created on 2026-03-10 01:23:24 +0100 by logger.rb/v1.5.3
2026-03-10 01:23:24 +0100: Memory Usage (436012K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Layout2026/Clock_Extractor_2026.gds
2026-03-10 01:23:24 +0100: Memory Usage (436012K) : Ruby Version for klayout: 3.2.3
2026-03-10 01:23:24 +0100: Memory Usage (437164K) : Loading database to memory is complete.
2026-03-10 01:23:24 +0100: Memory Usage (437164K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/drc_run_inverter_hv/Clock_Extractor_2026_inverter_hv_main.lyrdb
2026-03-10 01:23:24 +0100: Memory Usage (437164K) : Evaluate switches.
2026-03-10 01:23:24 +0100: Memory Usage (437164K) : tables selected: main
2026-03-10 01:23:24 +0100: Memory Usage (437164K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-10 01:23:24 +0100: Memory Usage (437164K) : deep mode is enabled.
2026-03-10 01:23:24 +0100: Memory Usage (437164K) : FEOL enabled: true
2026-03-10 01:23:24 +0100: Memory Usage (437292K) : BEOL enabled: true
2026-03-10 01:23:24 +0100: Memory Usage (437292K) : OFFGRID enabled: true
2026-03-10 01:23:24 +0100: Memory Usage (437292K) : PIN enabled: true
2026-03-10 01:23:24 +0100: Memory Usage (437292K) : FORBIDDEN enabled: true
2026-03-10 01:23:24 +0100: Memory Usage (437292K) : RECOMMENDED enabled: true
2026-03-10 01:23:24 +0100: Memory Usage (437292K) : PreCheck DRC enabled: false
2026-03-10 01:23:24 +0100: Memory Usage (437292K) : CONNECTIVITY_RULES enabled: true.
2026-03-10 01:23:24 +0100: Memory Usage (437292K) : Read in polygons from layers.
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : activ_drw has 20 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : activ_pin has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : activ_mask has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : activ_filler has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : activ_nofill has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : activ_opc has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : activ_iopc has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : activ_noqrc has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : biwind_drw has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : biwind_opc has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : pemwind_drw has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : gatpoly_drw has 8 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : gatpoly_pin has 2 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : gatpoly_filler has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : gatpoly_nofill has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : gatpoly_opc has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : gatpoly_iopc has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : gatpoly_noqrc has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : cont_drw has 104 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : cont_opc has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : nsd_drw has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : nsd_block has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : metal1_drw has 20 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : metal1_pin has 4 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438572K) : metal1_mask has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438828K) : metal1_filler has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438828K) : metal1_nofill has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438828K) : metal1_slit has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (438956K) : metal1_text has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (439084K) : metal1_opc has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (439084K) : metal1_noqrc has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (439084K) : metal1_res has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (439212K) : metal1_iprobe has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (439212K) : metal1_diffprb has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (439340K) : passiv_drw has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (439340K) : passiv_pin has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (439468K) : passiv_sbump has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (439468K) : passiv_pillar has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (439468K) : passiv_pdl has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (439596K) : metal2_drw has 7 polygons
2026-03-10 01:23:24 +0100: Memory Usage (439596K) : metal2_pin has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (439724K) : metal2_mask has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (439724K) : metal2_filler has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (439852K) : metal2_nofill has 0 polygons
2026-03-10 01:23:24 +0100: Memory Usage (439852K) : metal2_slit has 0 polygons
