# Logfile created on 2026-03-09 17:06:09 +0100 by logger.rb/v1.5.3
2026-03-09 17:06:09 +0100: Memory Usage (437500K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Layout2026/Clock_Extractor_2026.gds
2026-03-09 17:06:09 +0100: Memory Usage (437500K) : Ruby Version for klayout: 3.2.3
2026-03-09 17:06:09 +0100: Memory Usage (438396K) : Loading database to memory is complete.
2026-03-09 17:06:09 +0100: Memory Usage (438396K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/drc_run_via_stack$4/Clock_Extractor_2026_via_stack$4_main.lyrdb
2026-03-09 17:06:09 +0100: Memory Usage (438524K) : Evaluate switches.
2026-03-09 17:06:09 +0100: Memory Usage (438524K) : tables selected: main
2026-03-09 17:06:09 +0100: Memory Usage (438524K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-09 17:06:09 +0100: Memory Usage (438524K) : deep mode is enabled.
2026-03-09 17:06:09 +0100: Memory Usage (438524K) : FEOL enabled: true
2026-03-09 17:06:09 +0100: Memory Usage (438524K) : BEOL enabled: true
2026-03-09 17:06:09 +0100: Memory Usage (438524K) : OFFGRID enabled: true
2026-03-09 17:06:09 +0100: Memory Usage (438524K) : PIN enabled: true
2026-03-09 17:06:09 +0100: Memory Usage (438524K) : FORBIDDEN enabled: true
2026-03-09 17:06:09 +0100: Memory Usage (438524K) : RECOMMENDED enabled: true
2026-03-09 17:06:09 +0100: Memory Usage (438524K) : PreCheck DRC enabled: false
2026-03-09 17:06:09 +0100: Memory Usage (438524K) : CONNECTIVITY_RULES enabled: true.
2026-03-09 17:06:09 +0100: Memory Usage (438524K) : Read in polygons from layers.
2026-03-09 17:06:09 +0100: Memory Usage (439036K) : activ_drw has 0 polygons
2026-03-09 17:06:09 +0100: Memory Usage (439036K) : activ_pin has 0 polygons
2026-03-09 17:06:09 +0100: Memory Usage (439036K) : activ_mask has 0 polygons
2026-03-09 17:06:09 +0100: Memory Usage (439036K) : activ_filler has 0 polygons
2026-03-09 17:06:09 +0100: Memory Usage (439036K) : activ_nofill has 0 polygons
2026-03-09 17:06:09 +0100: Memory Usage (439036K) : activ_opc has 0 polygons
2026-03-09 17:06:09 +0100: Memory Usage (439036K) : activ_iopc has 0 polygons
2026-03-09 17:06:09 +0100: Memory Usage (439036K) : activ_noqrc has 0 polygons
2026-03-09 17:06:09 +0100: Memory Usage (439036K) : biwind_drw has 0 polygons
2026-03-09 17:06:09 +0100: Memory Usage (439036K) : biwind_opc has 0 polygons
2026-03-09 17:06:09 +0100: Memory Usage (439036K) : pemwind_drw has 0 polygons
2026-03-09 17:06:09 +0100: Memory Usage (439036K) : gatpoly_drw has 0 polygons
2026-03-09 17:06:09 +0100: Memory Usage (439036K) : gatpoly_pin has 0 polygons
2026-03-09 17:06:09 +0100: Memory Usage (439036K) : gatpoly_filler has 0 polygons
2026-03-09 17:06:09 +0100: Memory Usage (439036K) : gatpoly_nofill has 0 polygons
