# Logfile created on 2026-03-28 01:04:30 +0100 by logger.rb/v1.5.3
2026-03-28 01:04:30 +0100: Memory Usage (436584K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/TagWave/Brahim_layout/LDO/PMU.gds
2026-03-28 01:04:30 +0100: Memory Usage (436712K) : Ruby Version for klayout: 3.2.3
2026-03-28 01:04:30 +0100: Memory Usage (438364K) : Loading database to memory is complete.
2026-03-28 01:04:30 +0100: Memory Usage (438364K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/drc_run_pmu_tagwave/PMU_pmu_tagwave_main.lyrdb
2026-03-28 01:04:30 +0100: Memory Usage (438364K) : Evaluate switches.
2026-03-28 01:04:30 +0100: Memory Usage (438364K) : tables selected: main
2026-03-28 01:04:30 +0100: Memory Usage (438364K) : KLayout will use 1 thread(s) in tiled mode.
2026-03-28 01:04:30 +0100: Memory Usage (438364K) : deep mode is enabled.
2026-03-28 01:04:30 +0100: Memory Usage (438364K) : FEOL enabled: true
2026-03-28 01:04:30 +0100: Memory Usage (438364K) : BEOL enabled: true
2026-03-28 01:04:30 +0100: Memory Usage (438364K) : OFFGRID enabled: true
2026-03-28 01:04:30 +0100: Memory Usage (438364K) : PIN enabled: true
2026-03-28 01:04:30 +0100: Memory Usage (438364K) : FORBIDDEN enabled: true
2026-03-28 01:04:30 +0100: Memory Usage (438364K) : RECOMMENDED enabled: true
2026-03-28 01:04:30 +0100: Memory Usage (438364K) : PreCheck DRC enabled: false
2026-03-28 01:04:30 +0100: Memory Usage (438364K) : CONNECTIVITY_RULES enabled: true.
2026-03-28 01:04:30 +0100: Memory Usage (438364K) : Read in polygons from layers.
2026-03-28 01:04:30 +0100: Memory Usage (439556K) : activ_drw has 651 polygons
2026-03-28 01:04:30 +0100: Memory Usage (439556K) : activ_pin has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (439684K) : activ_mask has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (439684K) : activ_filler has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (439812K) : activ_nofill has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (439812K) : activ_opc has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (439940K) : activ_iopc has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (439940K) : activ_noqrc has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (439940K) : biwind_drw has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (439940K) : biwind_opc has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (440068K) : pemwind_drw has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (440068K) : gatpoly_drw has 555 polygons
2026-03-28 01:04:30 +0100: Memory Usage (440196K) : gatpoly_pin has 137 polygons
2026-03-28 01:04:30 +0100: Memory Usage (440196K) : gatpoly_filler has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (440324K) : gatpoly_nofill has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (440324K) : gatpoly_opc has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (440324K) : gatpoly_iopc has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (440452K) : gatpoly_noqrc has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (440580K) : cont_drw has 13097 polygons
2026-03-28 01:04:30 +0100: Memory Usage (440708K) : cont_opc has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (440836K) : nsd_drw has 216 polygons
2026-03-28 01:04:30 +0100: Memory Usage (440964K) : nsd_block has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (440964K) : metal1_drw has 1208 polygons
2026-03-28 01:04:30 +0100: Memory Usage (441092K) : metal1_pin has 409 polygons
2026-03-28 01:04:30 +0100: Memory Usage (441220K) : metal1_mask has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (441220K) : metal1_filler has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (441348K) : metal1_nofill has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (441348K) : metal1_slit has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (441484K) : metal1_text has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (441612K) : metal1_opc has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (441612K) : metal1_noqrc has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (441740K) : metal1_res has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (441740K) : metal1_iprobe has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (441740K) : metal1_diffprb has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (441868K) : passiv_drw has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (441868K) : passiv_pin has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (441996K) : passiv_sbump has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (441996K) : passiv_pillar has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (442124K) : passiv_pdl has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (442124K) : metal2_drw has 438 polygons
2026-03-28 01:04:30 +0100: Memory Usage (442252K) : metal2_pin has 54 polygons
2026-03-28 01:04:30 +0100: Memory Usage (442252K) : metal2_mask has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (442380K) : metal2_filler has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (442380K) : metal2_nofill has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (442508K) : metal2_slit has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (442508K) : metal2_text has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (442636K) : metal2_opc has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (442636K) : metal2_noqrc has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (442764K) : metal2_res has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (442764K) : metal2_iprobe has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (442892K) : metal2_diffprb has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (442892K) : baspoly_drw has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (443020K) : baspoly_pin has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (443020K) : psd_drw has 380 polygons
2026-03-28 01:04:30 +0100: Memory Usage (443148K) : nldb_drw has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (443148K) : digibnd_drw has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (443148K) : via1_drw has 1154 polygons
2026-03-28 01:04:30 +0100: Memory Usage (443276K) : backmetal1_drw has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (443276K) : backmetal1_pin has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (443404K) : backmetal1_mask has 0 polygons
2026-03-28 01:04:30 +0100: Memory Usage (443404K) : backmetal1_filler has 0 polygons
